ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
COA.L,2017-07-21,77.64,2018-01-19,78.21,83,27.37,0.7,182,BELOW_30W_SMA
AMS.SW,2017-11-10,344.48,2018-01-26,276.67,19,-1308.36,-19.7,77,HARD_STOP
YSN.DE,2016-10-21,37.79,2018-02-02,91.94,130,7019.5,143.3,469,BELOW_30W_SMA
HTRO.ST,2016-07-15,4.3,2018-02-09,12.84,789,6713.4,198.4,574,REGIME_OFF_10W
BESI.AS,2016-09-30,15.28,2018-02-09,35.57,318,6433.89,132.9,497,REGIME_OFF_10W
SOI.PA,2016-09-30,16.48,2018-02-09,54.97,213,8178.74,233.5,497,REGIME_OFF_10W
AMG.AS,2017-05-05,25.9,2018-02-09,37.93,234,2795.15,46.5,280,REGIME_OFF_10W
WAF.DE,2017-09-08,84.87,2018-02-09,111.44,34,883.3,31.3,154,REGIME_OFF_10W
FCT.MI,2017-12-08,10.14,2018-02-09,10.37,550,102.68,2.2,63,REGIME_OFF_10W
FTK.DE,2018-01-19,8.04,2018-02-09,7.08,805,-795.27,-12.0,21,HARD_STOP
EGL.LS,2018-01-26,4.07,2018-02-09,3.52,1288,-725.76,-13.5,14,HARD_STOP
PLUS.L,2018-02-02,1128.61,2018-03-02,1064.65,3,-211.89,-5.7,28,REGIME_OFF_10W
EMBRAC-B.ST,2018-02-02,99.9,2018-04-27,145.27,80,3609.84,45.4,84,REGIME_OFF_10W
STLAM.MI,2018-05-04,18.3,2018-06-01,17.49,419,-360.61,-4.4,28,REGIME_OFF_10W
FTK.DE,2018-05-04,8.44,2018-06-15,7.28,910,-1081.12,-13.8,42,HARD_STOP
DNP.WA,2018-05-04,9.76,2018-06-22,9.77,788,-14.19,0.1,49,REGIME_OFF_10W
CIE.MC,2018-05-04,28.22,2018-06-22,27.28,271,-274.06,-3.3,49,REGIME_OFF_10W
DSCV.L,2018-05-04,433.15,2018-06-22,428.84,17,-93.27,-1.0,49,REGIME_OFF_10W
TGYM.MI,2018-05-04,10.7,2018-06-29,10.1,716,-452.46,-5.6,56,REGIME_OFF_10W
SCT.L,2018-05-04,692.44,2018-07-06,720.38,11,287.29,4.0,63,REGIME_OFF_10W
FDR.MC,2018-06-15,13.51,2018-07-06,12.58,571,-551.26,-6.9,21,REGIME_OFF_10W
OXB.L,2018-05-04,634.15,2018-07-20,847.74,12,2543.02,33.7,77,REGIME_OFF_10W
PLUS.L,2018-05-04,1546.69,2018-08-24,1490.51,4,-244.74,-3.6,112,REGIME_OFF_10W
CDR.WA,2018-05-04,125.52,2018-09-07,172.63,61,2853.59,37.5,126,REGIME_OFF_10W
GTT.PA,2019-06-28,88.59,2019-08-02,80.79,89,-713.91,-8.8,35,BELOW_30W_SMA
MIPS.ST,2019-06-28,186.13,2019-08-16,157.41,42,-1226.11,-15.4,49,HARD_STOP
GRG.L,2019-06-28,2309.49,2019-08-16,2003.93,3,-936.68,-13.2,49,HARD_STOP
LIFCO-B.ST,2019-06-28,103.41,2019-08-16,93.85,76,-747.02,-9.3,49,REGIME_OFF_10W
ENOG.L,2019-08-02,1055.25,2019-09-27,932.31,7,-880.55,-11.6,56,HARD_STOP
GLPG.AS,2019-08-30,154.27,2019-10-04,137.36,55,-949.93,-11.0,35,HARD_STOP
PPC.AT,2019-09-27,3.24,2019-10-04,2.88,2041,-759.98,-11.2,7,HARD_STOP
GDWN.L,2019-06-28,3457.2,2019-10-25,3263.6,2,-407.2,-5.6,119,BELOW_30W_SMA
PETS.L,2019-08-30,232.36,2019-11-01,200.79,24,-777.56,-13.6,63,HARD_STOP
VER.VI,2019-06-28,46.23,2019-11-08,44.64,171,-292.63,-3.4,133,BELOW_30W_SMA
EUZ.DE,2019-06-28,7.83,2020-02-28,11.43,1016,3638.96,46.0,245,REGIME_OFF_10W
